"inst"	"score"	"nss.teach"	"nss.all"	"spend"	"ssr"	"career"	"value"	"tariff"	"nss.feedback"	"rank"	"year"	"group"	"former_poly"
"London Met"	31.7	79.877687906885	75.6572029442692	2.09097981512922	21.6599255254502	50.0414250207125	4.91174176809493	228.855732725892	61.8358758548133	116	2014	"Million"	"Yes"
"East London"	31.2	80.0121465685944	76.140350877193	3.4938684696609	24.7920718243575	39.0545454545455	4.38764736156792	238.099834528406	68.7929077247419	117	2014	"Million"	"Yes"
"Bucks New University"	30.1	79.4048320565704	73.0859835100118	3.85297655904467	24.0737372780234	48.0707395498392	2.25212295444494	236.882587859424	66.6196023061536	119	2014	"None"	"No"
"Cambridge"	100	91.0923401804569	90.2307692307692	9.67483112875609	11.5745714396678	85.7579729139362	5.95267773724743	615.827430555582	72.3512225126864	1	2015	"Russell"	"No"
"Oxford"	94.4	92.4634420697412	90.6453226613306	9.90024941686014	10.9975481710657	78.7304594978683	7.25916591749785	580.112068965518	71.4314254320247	2	2015	"Russell"	"No"
"St Andrews"	92.4	94.0927864758428	92.0415224913494	7.4889727831431	11.7668650958958	79.6019900497512	7.7348168722846	523.304047384007	75.6792118833217	3	2015	"None"	"No"
"Bath"	83.4	92.4923195084485	93.6923076923076	5.88516846845341	16.6325041123123	83.4033613445378	6.28770482760069	489.415845824411	74.3678425947275	4	2015	"None"	"No"
"Imperial College"	82.9	88.1824871228844	87.3165002935995	8.35142577951496	11.6615653425853	87.8286270691334	6.37774532543023	576.257868580894	69.2180876118699	5	2015	"Russell"	"No"
"Surrey"	82.5	91.4380966813153	90.9448818897637	7.48770291014795	15.4348884390784	73.3005733005733	6.65869678647064	422.313486370157	74.0985394824556	6	2015	"None"	"No"
"London School of Economics"	82	85.0808468078013	88.3411059293804	7.29936862005722	11.7604819932192	76.3257575757575	4.95712883952469	537.767826086951	71.4038359083644	7	2015	"Russell"	"No"
"Durham"	81.7	89.7827950843098	89.9543378995433	5.72356012348228	15.5688543717004	83.2273838630806	6.42713909760501	526.725617283957	71.8498199897137	8	2015	"Russell"	"No"
"Warwick"	80.7	87.8190899001109	87.1424604276589	8.56369498350063	13.8884738799864	79.0874524714828	5.99987992835725	509.558782365291	66.7277675942898	9	2015	"Russell"	"No"
"Lancaster"	80.5	90.1620618262297	88.4857142857142	7.6277700636764	14.9487793321242	73.1754161331626	5.77900381284999	448.533656174334	72.0521023765996	10	2015	"1994"	"No"
"UCL"	80.2	85.758920202462	83.3083458270864	8.7578404770779	10.24146214414	81.3264649066323	6.71858082425957	521.165545087484	62.1771494229904	11	2015	"Russell"	"No"
"Exeter"	79.5999999999999	91.7521598272138	90.2702702702702	6.64812347332913	17.216731300911	78.3126787416587	6.83968331791625	458.952232282235	73.9904988123515	12	2015	"Russell"	"No"
"Heriot-Watt"	79.5	88.0083941241131	91.2660256410256	7.63301718862991	16.4110322162373	78.2085561497326	5.90342173332591	423.500446827524	77.1771291483406	13	2015	"None"	"No"
"UEA"	76.0999999999999	91.7038358608385	90.6860409718913	7.28197162208928	13.0495935304153	69.2140921409213	5.85669998979196	430.763535400279	69.7907750832144	14	2015	"None"	"No"
"Loughborough"	74.5	86.8339270825437	88.4335154826957	6.5307926059513	15.5512012486102	75.9332023575638	5.90954420212274	406.512996389891	72.2946347377993	15	2015	"1994"	"No"
"York"	74	88.8231949971575	87.8181818181818	6.4681615390589	14.9602196514744	75.2470098803952	5.55081492882951	446.319649122807	68.5173386729771	16	2015	"Russell"	"No"
"Birmingham"	73.5	89.5763965963743	87.4514158800666	7.54393140775322	14.5404666984119	80.3215242631735	5.83910931098761	439.01195997071	69.5657003221148	17	2015	"Russell"	"No"
"Edinburgh"	72.7	84.8342682304946	81.973898858075	9.24948783045421	13.8200394099682	75.614671503426	6.54047383314922	489.223233404711	55.4513194925969	18	2015	"Russell"	"No"
"Southampton"	72.5	88.5863362139246	88.8502499456639	6.57991866436642	12.7639211956218	76.079734219269	6.27889543114156	431.136656493726	67.1477005998435	19	2015	"Russell"	"No"
