"inst"	"score"	"nss.teach"	"nss.all"	"spend"	"ssr"	"career"	"value"	"tariff"	"nss.feedback"	"rank"	"year"	"group"	"former_poly"
"Robert Gordon"	59.9	86.7243867243867	87.2594303310238	3.97860937947346	19.6864847252677	75.074775672981	4.59928344683149	349.71949404762	70.6728181468666	55	2014	"None"	"No"
"Lincoln"	59.1	84.891680760248	86.1746696745085	3.81291537439078	19.4246126095451	66.7082294264339	4.38332771598697	324.022506925208	70.4718318937734	56	2014	"Alliance"	"No"
"Stirling"	59.1	88.848298404153	87.7927063339731	4.71637698530316	18.2757836213086	61.6483516483516	4.53237487960517	373.818070818071	70.3757780680858	57	2014	"None"	"No"
"Northumbria"	59	86.7130035764896	86.3305473173362	5.12622353147057	17.7485461934377	59.53293830603	5.03360146998775	331.6529209622	74.0686750890833	58	2014	"Alliance"	"Yes"
"Plymouth"	58.1	88.9377886443901	87.866927592955	5.94505404725993	16.7956563074379	60.2333931777379	6.00804320843523	315.44642402647	70.495867768595	59	2014	"Alliance"	"Yes"
"Swansea"	57.5	86.8085665484168	85.9847488824612	5.09038094756201	16.1322337608706	69.3288962839712	4.89796602940089	359.57191058625	64.8362640833948	60	2014	"None"	"No"
"Birmingham City"	57.3	82.5993861965598	81.3230681494155	5.56296100162651	21.0483941935565	63.413506012951	5.88239966713318	323.524683544304	72.3235210060017	61	2014	"Million"	"Yes"
"Hull"	57.1	87.8919497828286	86.6222328017139	4.46118475148807	19.8452951237562	66.4745437079731	4.38441718053214	343.642281879196	70.6154139277889	62	2014	"None"	"No"
"Essex"	56.8	84.3550624133148	83.0649639089395	5.19745683196958	16.3729377964613	55.7614826752619	4.14885337388138	342.498181818182	68.8058624326875	63	2014	"1994"	"No"
"UWE Bristol"	56.5	85.7478065700877	82.918874847126	3.22240035286833	21.7122953109754	63.7136990319742	7.79421291574706	322.228730226592	66.1400285772606	64	2014	"Alliance"	"Yes"
"Sunderland"	56.3	84.1816607331858	80.8387841477491	6.94142288804248	17.0166457348021	43.1698113207547	5.6640748492477	271.936288088643	71.7185697808535	65	2014	"Million"	"Yes"
"Winchester"	56.2	89.7921599579058	87.4276696475539	2.73826614003371	17.7274522023339	53.5885167464115	6.33489884488492	307.37982832618	75.4337995583132	66	2014	"Guild"	"No"
"Anglia Ruskin"	55.2	86.1826264122986	80.6881243063263	7.8292013767646	20.2090832402237	59.8396501457726	5.20019206145967	247.427493047279	73.5860230974237	67	2014	"Million"	"Yes"
"Brighton"	54.9	85.381091211995	80.185537583254	4.49870889886062	19.0078621554812	57.9787234042553	5.84412644355128	304.586180713743	68.1854973099081	68	2014	"None"	"Yes"
"Liverpool John Moores"	54.6	83.9443807936673	82.1963394342762	4.21507710250097	21.6107378771254	56.6119852695012	6.91258759932265	327.075065119584	73.7414569094849	69	2014	"Alliance"	"Yes"
"Edge Hill"	54.3	87.7135726626992	83.9230769230769	3.30106267110182	17.2497121933441	62.7165627165627	4.37346771001431	307.343233082707	74.7808703675227	70	2014	"None"	"No"
"Greenwich"	54.3	85.0946506736399	83.0716723549488	4.67674977127173	21.3457583893773	55.264564404062	6.46533499457417	285.564157706093	72.0118208683792	71	2014	"Alliance"	"Yes"
"Sheffield Hallam"	54.1	83.4059852084048	81.5025500196155	4.35445022699812	19.9775203979086	55.2464469307529	7.18425332357691	316.27813970322	67.4152459337644	72	2014	"Alliance"	"Yes"
"Nottingham Trent"	53.7	82.1268754935509	81.2006319115324	4.61078441864198	20.0364448910899	59.3230230522323	5.21736583016748	322.373724007561	66.8368958618511	73	2014	"Alliance"	"Yes"
"Bangor"	53.5	84.6125569769152	82.0987654320988	5.3738812901778	17.9055471275636	61.0077519379845	4.42586500195415	312.700305810396	65.8768887059792	74	2014	"None"	"No"
"Teesside"	53.4	86.7776689520078	86.3518197573657	5.02828366247756	20.1477173525333	51.2953367875648	4.84006363191385	320.882039122703	77.1984706291276	75	2014	"Alliance"	"Yes"
"Falmouth"	53.1	80.0748752079867	74.0432612312812	5.85165001513775	23.9414600199198	51.9503546099291	4.96245837117772	289.182326621924	68.3772075974675	76	2014	"Guild"	"No"
"Chichester"	52.4	89.625	87.4166666666667	3.26618886576483	18.7678754492976	49.7297297297297	3.72678031528566	307.176991150442	73.9572906239573	77	2014	"Guild"	"No"
"Bath Spa"	51.8	87.7824487651077	84.6396633350868	3.91919883954474	21.7630185548638	55.1686615886834	6.03077270265391	339.214137214137	72.4152453148031	78	2014	"Million"	"No"
"Derby"	51.2	85.1283830673144	83.5696413678065	4.78563965736105	18.7824499517519	49.4704049844237	4.67959989649669	288.388935108153	72.0364403955116	79	2014	"None"	"No"
"Gloucestershire"	50.9	84.8547933798272	83.1526271893244	5.08017452958822	22.2761382311826	56.2378167641326	6.83372234151807	295.014414414414	71.380892782645	80	2014	"None"	"No"
"Queen Margaret"	50.8	83.5611870623541	81.8424566088118	2.78787878787879	20.4517009241109	52.0833333333333	6.87085514834206	332.117647058824	60.7357057177129	81	2014	"None"	"No"
"Hertfordshire"	50.6	82.1751104848524	82.530737704918	4.19710433531334	19.5019885307319	56.9572506286672	7.01663649566708	312.502676977989	65.9488283853766	82	2014	"Alliance"	"Yes"
"De Montfort"	50.3	84.5808062789868	84.1428571428571	3.23462986198244	20.2315034442327	55.7584269662921	5.63561570104956	300.537722520486	70.0205573321151	83	2014	"None"	"Yes"
"West London"	50.1	84.3388558924664	79.3017456359102	6.12615482637783	21.6468243657753	50.4635761589404	4.48407136030583	234.467429577465	72.1556886227545	84	2014	"Million"	"Yes"
"Edinburgh Napier"	49.9	83.850513978288	82.993459022701	3.62842348250354	23.8444549053691	68.3076923076923	7.54474101954273	324.922776911076	66.7025365103766	85	2014	"Million"	"Yes"
"Salford"	49.9	81.8025226426626	80.670217487794	3.88712107558663	17.6087437072803	55.8008213552361	4.6371497777187	300.479591836735	67.1466666666667	86	2014	"Alliance"	"No"
"Central Lancashire"	49.7	83.2792072612208	83.727909303101	5.83887117773218	19.3	54.2192429022082	3.69341420448274	298.034694504145	72.5830110681424	87	2014	"None"	"Yes"
"Aberystwyth"	49.5	87.6975270065173	88.36129953588	4.79048215387233	19.4140227402421	53.6303630363036	3.29917670329793	327.004207573634	68.9179531160663	88	2014	"None"	"No"
"St Mary's, Twickenham"	49.3	89.090669824977	88.5263157894737	3.01256268961674	25.0046297975163	58.1162324649299	4.80738436801908	297.379707112971	72.5645076355977	89	2014	"Guild"	"No"
"Bradford"	49.2	80.2963248027708	78	5.60437218075555	19.3697765012195	67.2766415500538	3.58317584131124	310.809470124014	67.2305089958481	90	2014	"None"	"No"
"Staffordshire"	48.6	85.8187415816817	84.6805234795997	5.72527580608696	20.3361810401704	48.3187134502924	3.84551776811948	253.812318137731	72.0915936683572	92	2014	"Million"	"Yes"
"Manchester Met"	48.2	81.5425276309467	80.3272377285852	3.01062703755451	19.3552459222268	54.7189010429916	5.26756001524197	332.980099502488	68.6728454409107	93	2014	"Alliance"	"Yes"
"York St John"	47.8	85.9841644672871	82.7318156579678	5.87969094922737	20.9478893545947	50.8728179551122	4.47287472035794	301.476971116315	67.7233429394813	94	2014	"Guild"	"No"
"Worcester"	47.7	82.1611044678769	79.6698523023458	4.48399258659698	23.6153939367377	58.4343991179713	6.47866685148615	282.067444876782	68.9946077578709	95	2014	"Guild"	"No"
"Glasgow Caledonian"	47.3	82.8143213988343	82.9723425524825	4.25730195419206	21.4177039244639	55.8784676354029	5.70259353741496	355.418405564473	54.8309821666223	96	2014	"None"	"No"
"Ulster"	46.3	84.2185991024257	85.3469852104664	3.79164565651523	18.5929671968137	53.8523925385239	4.91021983060007	283.760217113665	70.4158145875937	97	2014	"None"	"Yes"
"University Campus Suffolk"	46.2	85.5743172816344	79.2153589315526	NA	20.7327607430618	48.6140724946695	2.5323284410948	290.8608	73.65	98	2014	"None"	"No"
"Westminster"	46	76.7864379305687	74.5405405405406	4.1457753173539	20.8319240005115	54.642409033877	6.39475019905656	326.376827094475	63.296952669116	99	2014	"None"	"Yes"
"Kingston"	44.9	81.1867582760775	78.3	4.37562099516702	20.3855437113541	55.1455514555146	4.32904356236232	312.971724524077	64.3921215756848	100	2014	"Alliance"	"Yes"
"Roehampton"	44.8	86.0011990407674	83.6930455635492	3.3035357438779	20.0265062087996	53.9697542533081	4.76881188295702	275.031098825155	69.1999679666854	102	2014	"None"	"No"
"Middlesex"	44.5	77.8825546506644	74.0211488996856	7.41801487680149	23.0271836696535	52.4835988753515	5.71947773938912	249.684139784946	66.98485281509	103	2014	"Million"	"Yes"
"Canterbury Christ Church"	44.2	85.2870115804382	83.910726182545	3.20348478906381	19.4512754359008	57.4660633484163	5.3723457896801	273.516920473773	71.0828110414722	104	2014	"Million"	"No"
"Cardiff Met"	43.8	80.6225603042739	76.9907963185274	3.58303886925795	23.3540983747508	48.2237339380197	5.77193336698637	311.798444976077	69.6358543417367	105	2014	"Alliance"	"No"
"West of Scotland"	43.8	82.9900124843945	83.7984173261141	3.49919358941745	21.7120806890028	51.7347725520432	4.09207778387711	287.745762711865	67.973366625052	106	2014	"Million"	"No"
"Leeds Beckett"	43.5	86.3817629902982	84.4634784677611	3.0940704138357	20.6879426234763	53.6245954692557	4.52967321898084	278.171000361141	72.5248584613921	107	2014	"None"	"Yes"
"Glyndŵr"	43.3	81.75	75.7297748123436	3.51548370531004	23.2205745527086	68.6626746506986	4.11415711947627	232.203761755486	69.9783297216203	108	2014	"None"	"No"
"Cumbria"	41.1	83.235624298366	78.3608195902049	3.11276642979652	18.5768488498689	56.3524590163934	5.92453977577465	252.887108013937	67.6488214143028	109	2014	"Million"	"No"
"Bedfordshire"	40.3	80.8378957391097	78.3166904422254	5.57964986942644	23.266043324281	56.3484708063021	4.56150833500703	213.849096258932	68.0342693955259	110	2014	"Million"	"No"
"Leeds Trinity"	40.2	86.4988558352403	84.1930116472546	2	23.3308466003793	62.3556581986143	1.81392213570634	286.266487213997	73.4985859258027	111	2014	"Guild"	"No"
"Southampton Solent"	40.2	80.309046961326	79.1379310344828	3.50123976051939	20.5244622715398	43.6022253129346	4.13056315460862	282.241753977494	64.6235521235521	112	2014	"Guild"	"No"
"London South Bank"	39.4	79.9964327120307	79.1919914193779	3.91394899940563	23.6721059192603	58.9170477529256	4.08894511754195	242.08234421365	68.0305626963725	113	2014	"None"	"No"
"Abertay Dundee"	34.5	82.8131502288806	81.8030050083472	1.83647636269698	23.9787392119692	52.5641025641026	4.99201824401368	315.531375166889	59.0757978723404	114	2014	"Million"	"No"
"Bolton"	33.1	82.5145711906744	77.7222222222222	3.40363462458154	20.5825997916471	40.4814004376368	3.16098226466576	270.188131313131	68.7271113084008	115	2014	"Million"	"No"
